Weekly Midwest Regular Conventional Retail Gasoline Prices
http://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=EMM_EPMRU_PTE_R20_DPG&f=W
18:28:36 GMT-0500 (CDT)
Source: U.S. Energy Information Administration
Week of,Weekly Midwest Regular Conventional Retail Gasoline Prices Dollars per Gallon
10/20/2014,3.016
10/13/2014,3.057
10/6/2014,3.171
09/29/2014,3.272
09/22/2014,3.245
09/15/2014,3.331
09/8/2014,3.412
09/1/2014,3.414
08/25/2014,3.377
08/18/2014,3.368
08/11/2014,3.433
08/4/2014,3.396
07/28/2014,3.396
07/21/2014,3.476
07/14/2014,3.517
07/7/2014,3.59
06/30/2014,3.643
06/23/2014,3.664
06/16/2014,3.68
06/9/2014,3.664
06/2/2014,3.681
05/26/2014,3.628
05/19/2014,3.584
05/12/2014,3.571
05/5/2014,3.562
04/28/2014,3.629
04/21/2014,3.607
04/14/2014,3.593
04/7/2014,3.541
03/31/2014,3.565
03/24/2014,3.528
03/17/2014,3.554
03/10/2014,3.515
03/3/2014,3.471
02/24/2014,3.425
02/17/2014,3.343
02/10/2014,3.265
02/3/2014,3.222
01/27/2014,3.199
01/20/2014,3.183
01/13/2014,3.239
01/6/2014,3.203
12/30/2013,3.251
12/23/2013,3.14
12/16/2013,3.058
12/9/2013,3.124
12/2/2013,3.105
11/25/2013,3.172
11/18/2013,3.11
11/11/2013,3.064
11/4/2013,3.179
10/28/2013,3.186
10/21/2013,3.306
10/14/2013,3.282
10/7/2013,3.263
09/30/2013,3.337
09/23/2013,3.448
09/16/2013,3.479
09/9/2013,3.562
09/2/2013,3.619
08/26/2013,3.509
08/19/2013,3.485
08/12/2013,3.455
08/5/2013,3.561
07/29/2013,3.542
07/22/2013,3.621
07/15/2013,3.602
07/8/2013,3.384
07/1/2013,3.357
06/24/2013,3.507
06/17/2013,3.697
06/10/2013,3.833
06/3/2013,3.815
05/27/2013,3.759
05/20/2013,3.846
05/13/2013,3.632
05/6/2013,3.557
04/29/2013,3.498
04/22/2013,3.503
04/15/2013,3.427
04/8/2013,3.523
04/1/2013,3.556
03/25/2013,3.629
03/18/2013,3.623
03/11/2013,3.603
03/4/2013,3.697
02/25/2013,3.717
02/18/2013,3.745
02/11/2013,3.559
02/4/2013,3.493
01/28/2013,3.277
01/21/2013,3.211
01/14/2013,3.139
01/7/2013,3.129
12/31/2012,3.207
12/24/2012,3.165
12/17/2012,3.135
12/10/2012,3.276
12/3/2012,3.307
11/26/2012,3.382
11/19/2012,3.336
11/12/2012,3.32
11/5/2012,3.315
10/29/2012,3.384
10/22/2012,3.479
10/15/2012,3.675
10/8/2012,3.764
10/1/2012,3.777
09/24/2012,3.796
09/17/2012,3.869
09/10/2012,3.835
09/3/2012,3.845
08/27/2012,3.754
08/20/2012,3.731
08/13/2012,3.758
08/6/2012,3.742
07/30/2012,3.491
07/23/2012,3.468
07/16/2012,3.396
07/9/2012,3.423
07/2/2012,3.309
06/25/2012,3.421
06/18/2012,3.546
06/11/2012,3.508
06/4/2012,3.49
05/28/2012,3.561
05/21/2012,3.598
05/14/2012,3.607
05/7/2012,3.687
04/30/2012,3.714
04/23/2012,3.737
04/16/2012,3.825
04/9/2012,3.82
04/2/2012,3.854
03/26/2012,3.841
03/19/2012,3.797
03/12/2012,3.779
03/5/2012,3.729
02/27/2012,3.61
02/20/2012,3.461
02/13/2012,3.398
02/6/2012,3.399
01/30/2012,3.336
01/23/2012,3.292
01/16/2012,3.341
01/9/2012,3.335
01/2/2012,3.257
12/26/2011,3.221
12/19/2011,3.141
12/12/2011,3.222
12/5/2011,3.202
11/28/2011,3.175
11/21/2011,3.26
11/14/2011,3.368
11/7/2011,3.331
10/31/2011,3.377
10/24/2011,3.359
10/17/2011,3.411
10/10/2011,3.328
10/3/2011,3.314
09/26/2011,3.424
09/19/2011,3.566
09/12/2011,3.677
09/5/2011,3.697
08/29/2011,3.656
08/22/2011,3.559
08/15/2011,3.57
08/8/2011,3.654
08/1/2011,3.7
07/25/2011,3.675
07/18/2011,3.667
07/11/2011,3.647
07/4/2011,3.57
06/27/2011,3.467
06/20/2011,3.586
06/13/2011,3.695
06/6/2011,3.829
05/30/2011,3.777
05/23/2011,3.787
05/16/2011,3.941
05/9/2011,3.95
05/2/2011,3.983
04/25/2011,3.869
04/18/2011,3.819
04/11/2011,3.785
04/4/2011,3.663
03/28/2011,3.53
03/21/2011,3.5
03/14/2011,3.516
03/7/2011,3.478
02/28/2011,3.355
02/21/2011,3.129
02/14/2011,3.08
02/7/2011,3.113
01/31/2011,3.078
01/24/2011,3.08
01/17/2011,3.084
01/10/2011,3.072
01/3/2011,3.049
12/27/2010,3.034
12/20/2010,2.919
